CODIGO,EMPRESA,TICKER,CNPJ,DATA ACIONISTAS,FISICOS,JURIDICOS,INSTITUCIONAIS,URL B3
24384,INTERMEDICA,GNDI3,19.853.511/0001-84,25/03/2020,18417,1800,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24384
18775,INVEPAR,IVPR3B,03.758.318/0001-24,28/04/2020,0,1,3,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18775
6041,INVEST BEMGE,FIGE3,01.548.981/0001-79,30/04/2020,1254,124,2,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=6041
18589,INVESTCO,?,00.644.907/0001-93,19/04/2017,13,32,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=18589
11932,IOCHP-MAXION,MYPK3,61.156.113/0001-75,30/04/2020,47057,373,244,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=11932
2429,IRANI,RANI3,92.791.243/0001-03,28/04/2020,2938,49,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=2429
24180,IRBBRASIL RE,IRBR3,33.376.989/0001-91,31/07/2020,289488,1479,1164,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=24180
20818,ISEC,?,08.769.451/0001-08,30/04/2016,2,0,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20818
15865,ITAITINGA,SQRM11,01.258.943/0001-81,06/07/2016,1,1,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=15865
19364,ITAPEBI,?,02.397.080/0001-96,17/04/2020,0,2,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19364
7617,ITAUSA,ITSA3,61.532.644/0001-15,17/06/2020,713795,4065,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=7617
19933,ITAUSEG,?,07.256.507/0001-50,30/04/2012,3,3,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19933
12530,ITAUTEC,?,54.526.082/0001-31,30/04/2019,4157,259,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=12530
19348,ITAUUNIBANCO,ITUB3,60.872.504/0001-23,31/01/2021,462711,11268,1506,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=19348
12319,J B DUARTE,JBDU3,60.637.238/0001-54,14/08/2020,2915,47,19,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=12319
21156,J.MACEDO,?,14.998.371/0001-19,30/12/2019,30,6,0,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=21156
25496,JALLESMACHAD,JALL3,02.635.522/0001-95,14/01/2021,10827,147,201,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=25496
20575,JBS,JBSS3,02.916.265/0001-60,28/04/2020,98272,1903,990,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20575
8672,JEREISSATI,JPSA3,60.543.816/0001-93,08/07/2020,20197,184,119,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=8672
20605,JHSF PART,JHSF3,08.294.224/0001-65,09/04/2020,85974,232,291,http://www.b3.com.br/pt_br/produtos-e-servicos/negociacao/renda-variavel/empresas-listadas.htm?codigo=20605
