CNPJ,EMPRESA,CODIGO
33.143.025/0001-01,GEOTECNICA SA,6440
60.405.446/0001-28,GERAL DE CONCRETO S/A,5630
33.611.500/0001-19,GERDAU S.A.,3980
89.011.738/0001-68,GERDAU SERV INFORMATICA SA GSI,12785
79.114.203/0001-69,GERMANI CIA PARANAENSE ALIMS,6459
42.171.157/0001-20,GESTIO SA COMERCIO E INDUSTRIA,6467
33.311.366/0001-30,GETEC GUANABARA QUIM INDL SA,6475
61.196.119/0001-76,GIANNINI SA,12939
24.443.608/0001-59,GIPSITA MINERAÇÃO S/A INDÚSTRIA E COMERCIO,514853
61.338.042/0001-21,GLASSLITE SA IND DE PLASTICOS,6483
05.330.331/0001-03,GLOBAL BRASIL SA,19402
01.245.375/0001-84,GLOBAL TRUST SA,15776
07.095.028/0001-07,GODOI SECURITIES - CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS,19712
06.164.253/0001-87,GOL LINHAS AEREAS INTELIGENTES SA,19569
58.507.286/0001-86,GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A,20737
60.946.035/0001-40,GOYANA SA I BRAS MATS PLASTS,6530
07.857.850/0001-50,GP INVESTMENTS, LTD,80020
42.360.925/0001-93,GPC INDUSTRIA E COMERCIO SA,6548
02.193.750/0001-52,GPC PARTICIPACOES SA,16632
21.903.297/0001-75,GPR - PINHEIRO & RINALDO CAPITAL S.A.,23876
06.985.915/0001-80,GRACIOSA AGROPEC SA,513423
04.230.801/0001-02,GRADIENTE INDL SA,511102
06.930.747/0001-25,GRAMACOSA GDE MA COMPENS SA,504106
30.753.180/0001-43,GRAMASA GRANITOS E MARMORES SA,510335
84.583.137/0001-06,GRAMAZON GRANITOS DA AMAZÔNIA S/A,516996
31.683.659/0001-13,GRAMETAL GRANALHAS DE METAL SA,508055
00.416.575/0001-90,GRAMMUF GRANITOS MARMORES MUNIZ FREIRE SA,516562
14.191.427/0001-29,GRANBIO INVESTIMENTOS S.A.,25321
27.416.197/0001-09,GRANBRASIL GRANITOS BRASIL SA,509515
07.273.204/0001-45,GRANDES CURTUMES CEARENSES SA,506575
61.247.854/0001-61,GRANIMAR SA MARMORES GRANITOS,6564
09.339.342/0001-05,GRANITOS DO NORDESTE DO BRASIL S/A- GRANORDESTE,511323
24.064.453/0001-40,GRANITOS EXPORTAÇÃO DO NORDESTE SA,516155
01.800.130/0001-71,GRANJA AVENORTE SA,517542
05.093.513/0001-08,GRANJA CONCEICAO SA,513644
09.500.430/0001-47,GRANJA SANTA LUCIA SA,503550
04.238.176/0001-37,GRANJA SANTA MARTA SA,508519
04.238.176/0001-37,GRANJA SANTA MARTA SA,519367
09.319.278/0001-09,GRANJA SAO JOAQUIM SA,514241
27.657.717/0001-67,GRANJA WALKYRIA SA,508446
07.591.258/0001-59,GRANJAS SAO JOSE SA,518123
11.001.203/0001-19,GRANJITA INDL AVIC SA,508012
88.925.029/0001-25,GRANOLEO SA CI SEMS OLEAGS DER,6572
23.445.513/0001-01,GRANOS GRANITOS DO NE SA,514098
23.445.513/0001-01,GRANOS GRANITOS DO NE SA,519391
33.714.304/0001-70,GRANPEIXE GRANJA P E SUINOS SA,513598
32.481.343/0001-01,GRANSANTOS GRAN E MARMORES SA,513784
09.793.167/0001-21,GRANVALE CIA AGROPECUARIA DO GRANDE VALE,500356
07.653.777/0001-02,GRANVILLE CONFEC SA,506958
12.147.732/0001-98,GRÃOS SELECIONADOS DO MARANHÃO SA,512648
00.313.162/0001-80,GRAPIA SA,15016
06.865.794/0001-32,GRASA GRANJA SANTANA SA,512273
87.377.016/0001-04,GRAVATAI SUL SA,12904
92.012.467/0001-70,GRAZZIOTIN SA,4537
07.277.726/0001-15,GRENDENE DO NORDESTE SA,511668
89.850.341/0001-60,GRENDENE SA,19615
16.369.829/0001-04,GRIFFIN BRASIL LTDA,505595
01.258.945/0001-70,GRUÇAI PARTICIPAÇÕES SA,15695
10.285.590/0001-08,GRUPO DE MODA SOMA S.A.,25011
24.990.777/0001-09,GRUPO MATEUS S.A.,25186
13.217.485/0001-11,GRUPO SBF S.A.,24694
00.649.881/0001-76,GTD PARTICIPACOES SA,14915
06.526.131/0001-93,GUADALAJARA SA IND DE ROUPAS,509191
08.214.850/0001-02,GUAGIRU AGROPECUARIA SA,512630
07.574.718/0001-30,GUAIUBA AGROPECUÁRIA S/A,505765
04.996.104/0001-59,GUAJARA BUFALOS SA,513016
06.868.228/0001-84,GUANABARA AGRO INDUSTRIAL S A,510491
04.096.095/0001-40,GUANHAMBI AGRI E COM SA,508357
05.011.341/0001-86,GUARAMA - GUARANA DA AMAZONIA SA,519090
08.402.943/0001-52,GUARARAPES CONFECÇÕES SA,4669
08.573.842/0001-44,GUARARAPES TEXTIL SA,502014
30.788.149/0001-48,GUARDIAN COMPANHIA SECURITIZADORA,24562
13.096.763/0001-20,GUFI GP UNIDO DE FIACAO SA,501433
58.962.275/0001-96,GURGEL MOTORES SA,13382
62.278.783/0001-27,GURGEL SA PARTICIPACOES,12050
31.760.176/0001-75,GURIRI HOTEIS E TURISMO SA,513318
07.636.657/0001-99,GUSA NORDESTE S. A.,515540
03.420.904/0001-64,GVT HOLDING S/A,20117
10.737.120/0001-20,GYPSUM DO NE SA IC DE GESSO,6610
09.304.427/0001-58,HABITASEC SECURITIZADORA SA,21628
03.230.570/0001-66,HADDAD PARK HOTEL SA,515140
30.540.991/0001-66,HAGA S.A. INDÚSTRIA E COMÉRCIO,13366
34.111.187/0001-12,HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.,13960
10.308.997/0001-03,HALLEY SA-GRAFICA E EDITORA,500194
05.197.443/0001-38,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,24392
31.685.977/0001-13,HARPIA - AGROCOMERCIAL SA,511919
13.407.573/0001-86,HARPIA ÔMEGA PARTICIPAÇÕES S.A.,22578
06.965.529/0001-26,HASA HOLANDA AGROPEC SA,506311
56.444.250/0001-75,HAUSCENTER SA,14850
14.785.152/0001-51,HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,25402
49.263.189/0001-02,HELBOR EMPREENDIMENTOS S/A,20877
92.749.225/0001-63,HERCULES S/A - FABRICA DE TALHERES,6629
82.647.942/0001-20,HERING SA BRINQ INST MUSICAIS,13137
30.552.483/0001-06,HERINGER AGRI SA,509540
84.590.892/0001-18,HERMASA NAVEGAÇÃO DA AMAZÔNIA S/A,517950
31.467.236/0001-66,HEXAGONAL HOTEIS E TURISMO SA,513288
15.682.669/0001-88,HIDROGRU SA IND E COM,503940
05.054.358/0001-10,HIDROSERVICE DA AMAZÔNIA S/A AGROPECUÁRIA E INDUSTRIAL,509930
12.648.327/0001-53,HIDROVIAS DO BRASIL S.A.,22675
05.173.778/0001-16,HILEIA AGROINDUSTRIAL SA,519014
30.577.779/0001-73,HILL PARK HOTEL TUR HOTELAR SA,516937
60.904.810/0001-02,HINDI CIA BRAS DE HABITACOES,6661
39.393.829/0001-37,HLASA PARTICIPAÇÕES S.A.,25364
61.150.397/0001-92,HOECHST BRASIL QUIM FARM SA,12335
60.861.788/0001-52,HOECHST BRASIL SA QUIM FARM,6670
08.643.660/0001-00,HOLANDESA AGROPECUARIA SA,507598
00.924.432/0001-99,HOPI HARI SA,15377
06.564.793/0001-58,HORIZONTE AVIC E INDL SA,508543
06.564.793/0001-58,HORIZONTE AVIC E INDL SA,519588
00.949.959/0001-78,HOSPITAL LA SANTE SA,15466
31.767.528/0001-14,HOSTESS HOTEL S/A,508314
92.689.264/0001-12,HOTEIS CHARRUA SA,512737
08.771.578/0001-53,HOTEIS DA FONTE S/A,502650
76.687.821/0001-00,HOTEIS DO PARANA SA HOTEPAR,518204
11.727.781/0001-37,HOTEIS E TURISMO FLORESTA S/A,502138
33.858.168/0001-91,HOTEIS E TURISMO GUANABARA SA,6696
54.175.476/0001-92,HOTEIS ELDORADO CUIABA SA,500569
08.008.807/0001-82,HOTEIS G P SA,502855
03.150.745/0001-25,HOTEIS GLOBAL SA,504823
33.200.049/0001-47,HOTEIS OTHON SA,6700
24.693.756/0001-21,HOTEIS RIO ALEGRE SA,514896
09.276.932/0001-36,HOTEIS SALINAS SA,502359
82.602.426/0001-80,HOTEIS TANNENHOF SA,6718
92.950.351/0001-81,HOTEL ACORES SA,518506
27.021.542/0001-05,HOTEL ATLANTICO SA,517135
08.601.353/0001-59,HOTEL CABO BRANCO SA,503789
08.603.680/0001-40,HOTEL CAICARA S/A,511234
09.344.391/0001-36,HOTEL COSTA AZUL S/A,511641
10.238.962/0001-37,HOTEL EQUINOCIOS S/A,510998
32.418.485/0001-24,HOTEL ERVA DOCE SA,513660
27.012.137/0001-12,HOTEL ESPADARTE SA.,515612
07.487.952/0001-20,HOTEL FAZ VILA VERDE SA,509256
07.199.284/0001-36,HOTEL FLAMINGO SA,501824
30.686.810/0001-04,HOTEL PRAIA SOL SA,514829
15.675.715/0001-11,HOUSI S.A.,25313
60.891.751/0001-77,HOWA S.A. INDUSTRIAS MECANICAS,6734
12.827.269/0001-25,HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A,24376
34.262.972/0001-76,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,8915
34.262.972/0001-76,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,15210
44.847.374/0001-12,HSBC LEASING A.M.(BRASIL) SA,736
76.538.446/0001-36,HSBC SEGUROS BRASIL SA,728
67.760.702/0001-44,HSBX BAURU EMPREENDIMENTOS SA,14095
50.991.421/0001-08,HUMAITA SA,12149
08.400.426/0001-44,HUMUS NORDESTE SA,512338
08.400.426/0001-44,HUMUS NORDESTE SA,520608
84.685.189/0001-93,HUSKY SA,13218
01.180.474/0001-25,HYDE PARK SA,15580
02.932.074/0001-91,HYPERA S/A,21431
22.955.017/0001-35,IANDE AGROPEC SA,510955
34.270.520/0001-36,IBM LEASING ARREND MERC SA,14257
32.670.812/0001-30,IBOTIRAMA AGRICOLA SA,513857
32.670.812/0001-30,IBOTIRAMA AGRICOLA SA,520209
04.211.629/0001-31,IBREL SA,513580
16.280.315/0001-70,ICA PRODS QUIM DA BAHIA SA,511315
17.157.264/0001-56,ICAL IND DE CALCINACAO SA,6785
10.969.780/0001-36,ICANOR SA ARAMES E CABOS,6793
11.491.842/0001-00,ICEBRAS-IND CERAMICA BRASIL SA,512460
49.058.555/0001-83,IDEROL SA EQUIPS RODOVIARIOS,13692
49.867.112/0001-33,IFEMA SA I DE CONDS ELETRICOS,6807
11.578.390/0001-06,IGARA PARTICIPAÇÕES S/A,508039
11.254.661/0001-60,IGARITE AGROPEC SA,502022
43.185.362/0001-07,IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL,6815
10.779.288/0001-06,IGB IND GRAFICA BRASILEIRA SA,502677
08.159.965/0001-33,IGUA SANEAMENTO S.A.,22403
08.159.965/0001-33,IGUA SANEAMENTO S.A.,23175
81.304.727/0001-64,IGUACU CELULOSE PAPEL SA,15113
51.218.147/0001-93,IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,20494
60.484.797/0001-71,IKPC INDS KLABIN PAPEL CEL SA,7420
08.815.060/0001-74,ILCASA IND LAT CAMPINA GDE SA,509124
06.931.323/0001-85,ILHA AGROPECUARIA SA,509183
05.013.206/0001-70,ILHA DE MARAJO HOTEIS SA,513059
40.909.087/0001-39,ILOBRAS IND LENTES OFT BR SA,516376
33.679.069/0001-42,ILSA - INDS LUELLMA SA,513300
04.972.980/0001-45,IMACO SA IND METALURGICA,511480
61.599.734/0001-23,IMAT S/A SOC AGRI E PECUARIA,511021
78.571.411/0001-24,IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA,21318
92.783.646/0001-00,IMCOSUL SA,6831
16.532.798/0001-52,IMERYS RIO CAPIM CAULIM S/A,515582
12.547.840/0001-58,IMETAMAR IND MEC METALURG SA,506001
00.808.469/0001-51,IMPASA IMPERATRIZ AGROPASTORIL SA,512800
04.786.919/0001-03,IMPERATRIZ PEC E INDL SA,511862
24.097.453/0001-46,IMPERIAL AGRICULT IRRIGADA SA,508810
06.913.115/0001-53,IMPERIAL AGROIND MARANHÃO SA,508071
06.767.982/0001-28,IMPERIAL MONÇÃO AGROPEC SA,500305
33.123.118/0001-66,IMPERIO LISAMAR SA IND E COM,14567
04.893.996/0001-62,IMPORTADORA DE FERRAGENS SA,6840
27.263.805/0001-84,INACARB IND NAC DE CARBON SA,516279
06.425.144/0001-76,INAVE S/A - INDÚSTRIA E NAVEGAÇÃO,503886
61.081.972/0001-42,INBRAC SA CONDUTORES ELETRICOS,6874
39.620.349/0001-61,INBRAC VITORIA SA,515850
09.054.385/0001-44,INBRANDS SA,22560
06.629.695/0001-51,INBRASMA IND BRAS MARMORE SA,506893
04.620.209/0001-09,INCASA IND CER DO ACRE SA,508934
30.567.713/0001-00,INCOMIL IND E COM MINERIOS SA,516112
13.609.391/0001-98,INCON PRODS ALIM SA,510629
37.240.330/0001-64,INCOPLASTINS IND COM EMB TO SA,514730
39.801.279/0001-48,INCOSPAL CONSTRUÇÕES PRÉ-FABRICADAS S/A,518271
06.565.402/0001-10,IND ALIMS DO NORDESTE SA,503983
15.126.626/0001-16,IND AZULEJOS BAHIA SA,6955
16.112.484/0001-09,IND BAHIANA DE ARTEF DE PAP SA,515060
15.102.692/0001-56,IND BAHIANA DE LAJES SA,6912
04.393.401/0001-00,IND BEBS ANTARCTICA AMAZ SA,6963
23.536.691/0001-48,IND BEBS ANTARCTICA MG SA,3581
17.317.686/0001-41,IND BEBS ANTARCTICA MG SA,6971
32.993.529/0001-40,IND BEBS ANTARCTICA MT SA,13684
15.182.652/0001-61,IND BEBS ANTARCTICA NORTE-NORDESTE SA,6980
09.259.821/0001-11,IND BEBS ANTARCTICA PARAIBA SA,13188
05.234.760/0001-87,IND BEBS ANTARCTICA PIAUI SA,6998
95.424.479/0001-08,IND BEBS ANTARCTICA POLAR SA,7005
08.473.852/0001-08,IND BEBS ANTARCTICA RN SA,13668
08.473.852/0001-08,IND BEBS ANTARCTICA RN SA,502391
04.932.265/0001-89,IND BIOL FARMACEUTICA AMAZ SA,6920
07.367.055/0001-83,IND BRAS ARTEF PLASTICOS SA,507660
07.197.890/0001-12,IND BRAS DE SAL SA,520403
89.716.138/0001-03,IND CALCADOS ERNO SA,7013
04.990.958/0001-28,IND CERAMICA AMAZONIA SA INCA,6947
04.718.730/0001-83,IND COM DE MOVEIS TUPI SA,513547
09.717.646/0001-69,IND COM DE OLEOS ARARIPINA SA,520020
10.324.663/0001-15,IND COM DE PISOS CERAMICO SA,514047
02.393.692/0001-00,IND COM DE REFRIG DA AMAZ. SA,514756
08.685.729/0001-50,IND COM DE TELAS SA,509370
09.270.539/0001-35,IND COM GONÇALVES MONTEIRO SA,511609
06.920.268/0001-28,IND COM PAPEIS SA,509680
08.045.668/0001-67,IND CONFEC SPARTA NE SA,505722
27.739.200/0001-17,IND CONFECÇÕES OMEGA SA,517348
12.777.728/0001-03,IND DE CALCADOS CARPINA SA,502227
95.814.083/0001-69,IND DE MAQS AGRICOLAS IDEAL SA,7072
51.329.092/0001-99,IND DE PAPEL PIRACICABA SA,7102
07.200.959/0001-10,IND DE PESCA DO CEARA SA - IPECEA,517941
31.298.359/0001-10,IND FRANCISCANA DE M E BISC SA,514527
90.724.345/0001-80,IND MAQS AGRICOLAS FUCHS SA,7064
11.104.692/0001-34,IND MARANHENSE DE PLASTICOS SA,509221
04.554.671/0001-55,IND MARONI SA,517330
28.053.387/0001-63,IND MASSAS E BISCOITOS ALCOBAÇA SA,9920
28.053.387/0001-63,IND MASSAS E BISCOITOS ALCOBAÇA SA,512168
30.819.585/0001-37,IND METALURGICA IGUACU SA,7218
08.815.979/0001-68,IND METALURGICA SILVANA SA,517127
05.535.711/0001-84,IND NACIONAL DE ACESS P/ IRRIG S/A - INAPI,504319
07.326.937/0001-09,IND NAVAL DO CE SA,500623
11.095.718/0001-25,IND OLEOS CORINGA SA,511196
05.777.271/0001-71,IND OLEOS GUIMARAES SA,515892
61.085.544/0001-98,IND OLEOS PACAEMBU SA,12645
15.891.435/0001-40,IND PAPEIS SANTO AMARO SA,7080
60.432.648/0001-69,IND PAPEL PAPELAO S.ROBERTO SA,7099
32.748.899/0001-11,IND PLAST CELI SA CELIPLAST,517526
32.748.899/0001-11,IND PLAST CELI SA CELIPLAST,519278
23.602.410/0001-08,IND PLAYBOY NORDESTE SA,515388
08.826.349/0001-99,IND PRODUTOS METALURGICOS DO NORDESTE SA,519359
05.822.507/0001-44,IND SOROS E PRODS FARMACEUTICOS DO PIAUI SA,503819
84.430.610/0001-15,IND TEXTIL JARITA SA,7269
24.064.206/0001-43,IND VESTUARIO DO NORDESTE SA,514225
92.690.817/0001-57,INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A.,7277
08.025.249/0001-63,INDEPENDÊNCIA AGROPECUÁRIA SA,518840
92.750.132/0001-59,INDL ARTE TECNICA S.A.,7285
01.003.635/0001-05,INDL BRASIL ARREND MERC SA,15954
92.721.315/0001-46,INDL E COML BRAS SA INCOBRASA,7307
06.565.501/0001-00,INDS AGRI DO NE SA,505153
18.135.624/0001-81,INDS ALIMCS ITACOLOMY SA ITASA,7340
09.886.995/0001-04,INDS ALIMENTICIAS MAGUARY SA,7358
62.291.380/0001-18,INDS ARTEB SA,15881
86.046.562/0001-91,INDS ARTEFAMA SA,7366
61.142.063/0001-77,INDS C FABRINI SA,7374
56.993.645/0001-27,INDS CHOCOLATE LACTA S/A,7390
10.728.806/0001-54,INDS COELHO SA,7382
31.901.382/0001-58,INDS DE BEBS JOAQUIM T A F SA,12068
10.981.488/0001-39,INDS DUREINO SA,508250
10.981.488/0001-39,INDS DUREINO SA,520373
07.212.574/0001-72,INDS ELETRICAS ELITE SA,512940
60.637.238/0001-54,INDS J B DUARTE SA,12319
08.397.697/0001-98,INDS JOSSAN SA,7404
06.061.105/0001-37,INDS KARINA SA,7412
60.873.874/0001-85,INDS MADEIRIT SA,7439
10.775.468/0001-01,INDS MINERVA SA,7455
43.995.323/0001-75,INDS MONSANTO SA,7463
00.322.818/0001-20,INDS NUCLEARES DO BRASIL SA,5606
06.283.477/0001-08,INDS QUIMICAS NORTE SA,7471
11.507.415/0001-72,INDS REUN RAYMUNDO DA FONTE SA,504866
22.665.921/0001-06,INDS REUNS STA MARIA SA,517305
10.810.653/0001-90,INDS ROMI DO NORDESTE SA,7501
84.685.106/0001-66,INDS SCHNEIDER SA,7528
71.444.681/0001-25,INDS TEXTEIS BARBERO SA,7536
24.278.459/0001-10,INDUCON DO NE SA,510211
15.585.631/0001-97,INDUSA-IND E COM PROTEINAS NE,515736
07.287.998/0001-04,INDÚSTRIA DE FRIO E PESCA S/A-IPESCA,503347
09.342.379/0001-92,INDUSTRIA DE LATICÍNIOS PALMEIRA DOS INDIOS S/A,502375
28.500.320/0001-20,INDÚSTRIA VEROLME S.A. - IVESA,12866
88.301.163/0001-55,INDUSTRIAS MICHELETTO S/A,7447
56.720.428/0001-63,INDÚSTRIAS ROMI S.A.,7510
02.225.714/0001-23,INEPAR ENERGIA SA,16730
02.258.422/0001-97,INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL,17868
76.627.504/0001-06,INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL,7595
08.939.548/0001-03,INFAN - IND QUÍMICA FARMACÊUTICA NACIONAL S/A,512656
07.704.069/0001-45,INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A,21288
01.596.910/0001-41,INFOVIAS PNSC SA,16314
10.488.244/0001-19,INFRASEC SECURITIZADORA S/A,21750
04.726.386/0001-74,INGA AGRO FLORESTAL SA,505064
04.726.386/0001-74,INGA AGRO FLORESTAL SA,519685
02.604.860/0001-60,INNCORP S.A.,17558
18.891.036/0001-78,INONIBRAS INOCULANTES E FERRO LIGAS NIPO-BRASILEIROS S/A,517488
10.318.061/0001-55,INOVISA IND NORDEST VIDROS SA,502987
08.231.607/0001-94,INPELE INDUSTRIAS DE PELES SA,507571
06.893.044/0001-74,INPROMAR SA INDUSTRIA DE PRODUTOS DO MAR,504289
19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,24090
82.901.000/0001-27,INTELBRAS S.A.,25453
12.395.063/0001-73,INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO,23043
09.611.768/0001-76,INTER CONSTRUTORA E INCORPORADORA S.A,24279
80.246.812/0001-50,INTERAGRO SA ALIMENTOS,16179
62.258.884/0001-36,INTERCEMENT BRASIL SA,19631
12.610.116/0001-21,INTERCOSMETIC HOLDING S/A,22888
04.377.529/0001-80,INTERMAR INDUSTRIA E COMERCIO SA,510122
12.394.916/0001-52,INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL,23086
-,INTERNATIONAL FINANCE CORPORATION - IFC,90000
17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,23574
08.936.792/0001-12,INTERNATIONAL MEAL COMPANY HOLDINGS, SA,21890
08.936.792/0001-12,INTERNATIONAL MEAL COMPANY HOLDINGS, SA,22438
15.205.867/0001-50,INTEX INDUSTRIA DE PLÁSTICOS SA,511889
08.972.622/0001-93,INTRAFRUT INDÚSTRIA TRANSFORMADORA DE FRUTOS S/A,515515
08.442.592/0001-03,INTROSUC INDUSTRIA TROPICAL SUCOS SA,500461
42.461.046/0001-58,INVESPAR SA,7609
03.758.318/0001-24,INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR,18775
00.644.907/0001-93,INVESTCO S/A,18589
46.112.488/0001-40,INVESTEC SA,12505
02.983.657/0001-41,INVESTHOTEL S.A.,18570
01.548.981/0001-79,INVESTIMENTOS BEMGE S.A.,6041
02.869.385/0001-53,INVESTMOBILE SA,18120
02.812.190/0001-77,INVESTVALE SERVIÇOS S.A.,18384
00.021.096/0001-74,INVISTA NYLON SUL AMERICANA S/A,18791
10.242.478/0001-81,INVITEL LEGACY SA,21687
02.465.782/0001-60,INVITEL SA,17396
61.156.113/0001-75,IOCHPE-MAXION SA,11932
06.263.438/0001-49,IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A,7498
88.939.236/0001-39,IPIRANGA PETROQUIMICA SA,12300
11.029.196/0001-63,IPLAC DO BR SA PLASTICOS INDL,7641
07.766.660/0001-27,IPLAC SA PLAST E EMBALAGENS,503274
23.581.002/0001-17,IPUEIRAS AGRICOLA SA IPASA,516651
36.939.957/0001-45,IQC IND QUIMICA CUIABA SA,513954
92.387.018/0001-06,IRANI AGROFLORESTAL SA,13463
92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,2429
33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,24180
01.545.832/0001-56,IRIRI PARTICIPACOES SA,16110
08.388.092/0001-30,IRMÃOS ARNAUD AGROPECUARIA SA,505536
09.988.635/0001-13,IRMAOS COUTINHO INDUSTRIA DE COUROS SA,518549
52.769.783/0001-76,IRMAOS DAVOLI SA IMP E COM,7650
07.214.885/0001-70,IRMAOS FONTENELE SA COM IND AG,504947
09.295.979/0001-47,IRONX MINERAÇÃO S/A,21458
15.121.064/0001-18,IRPESA SA IND METALURGICA,7668
08.075.006/0001-30,ISA CAPITAL DO BRASIL SA,20427
33.796.830/0001-26,ISA IRRIGAÇÃO SANTO ANDRÉ S/A,510971
08.987.612/0001-21,ISAMA AGROPECUARIA SA,506850
08.987.612/0001-21,ISAMA AGROPECUARIA SA,520543
08.769.451/0001-08,ISEC SECURITIZADORA S.A.,20818
13.407.617/0001-78,ISOLUX INFRASTRUCTURE SA,22624
01.355.994/0001-21,ITA ENERGETICA S/A,18910
00.987.716/0001-24,ITABAPOANA PARTICIPACOES SA,15601
14.352.215/0001-86,ITABUNA INDUSTRIAL SA,503622
06.893.812/0001-90,ITAGUAHYSA ITAGUAHY AGROPEC S/A,518514
11.482.098/0001-87,ITAGUARANA S/A,500984
27.184.951/0001-14,ITAGUASSU AGRO INDUSTRIAL S/A,7692
27.184.951/0001-14,ITAGUASSU AGRO INDUSTRIAL S/A,518140
07.483.795/0001-85,ITAGURARA AGRICULTURA E PECUARIA SA,515752
12.093.365/0001-97,ITAIPU EMPREENDIMENTOS AGRÍCOLAS S/A,511498
01.258.943/0001-81,ITAITINGA PARTICIPACOES SA,15865
04.953.915/0001-72,ITAITUBA INDUSTRIA DE CIMENTOS DO PARÁ S/A,504793
05.645.239/0001-32,ITAL - IMPLEMENTOS E TRATORES ANFÍBIOS S/A,500950
05.645.239/0001-32,ITAL - IMPLEMENTOS E TRATORES ANFÍBIOS S/A,520268
16.935.579/0001-14,ITALMAGNESIO NORDESTE SA,512907
77.558.948/0001-91,ITAMARATY FILTROS DE PAPEL SA,7706
09.525.940/0001-79,ITAPAGE AGROPECUARIA SA,504327
13.575.295/0001-76,ITAPARICA SA EMPREEND TURIST,7722
02.397.080/0001-96,ITAPEBI GERAÇÃO DE ENERGIA S/A,19364
24.348.682/0001-96,ITAPECURU AGRICOLA SA-ITAGRISA,513199
21.714.589/0001-60,ITAPEMIRIM AGRICULTURA SA,505056
86.442.951/0001-36,ITAPIRUBA HOTEIS E TURISMO SA,7730
11.482.080/0001-85,ITAPISSUMA S/A,501441
04.869.392/0001-80,ITAPITANGA INDUSTRIA DE CIMENTOS DE MATO GROSSO S/A,510521
04.364.451/0001-69,ITAPOA AGROPASTORIL SA,520551
11.563.715/0001-79,ITAPOÃ SA PRUDUTOS ELETRICOS,504149
08.219.477/0001-74,ITAQUI GERAÇÃO DE ENERGIA S.A.,23213
02.180.133/0001-12,ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.,17019
60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,1279
60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,19348
60.701.190/0001-04,ITAU UNIBANCO S.A.,1287
01.920.494/0001-95,ITAÚBA AGROINDUSTRIAL S/A,518638
43.443.464/0001-85,ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT,1821
07.231.103/0001-01,ITAUEIRA AGROPECUÁRIA S/A,514772
61.532.644/0001-15,ITAUSA S.A.,7617
07.256.507/0001-50,ITAUSEG PARTICIPAÇÕES SA,19933
51.764.058/0001-42,ITAUTEC INFORMÁTICA S.A. - GRUPO ITAUTEC,7757
54.526.082/0001-31,ITAUTEC S.A. - GRUPO ITAUTEC,12530
04.265.872/0001-32,ITAUTINGA AGROINDUSTRIAL S/A,506435
01.545.830/0001-67,ITINGA PARTICIPACOES SA,16136
00.185.041/0001-08,ITIQUIRA ENERGÉTICA S/A,18732
97.395.172/0001-43,IVEN SA,14389
92.754.191/0001-03,J H SANTOS SA COM E INDUSTRIA,7765
08.409.674/0001-56,J MOTTA INDUSTRIA E COMERCIO SA,517550
08.423.634/0001-69,J R C CIA DE EMPREEND RURAIS,518590
13.151.741/0001-15,J. C. BARRETTO FERTILIZANTES SA,518964
14.998.371/0001-19,J.MACEDO S/A,21156
14.998.371/0001-19,J.MACEDO S/A,507610
05.262.142/0001-40,JACUIPE AGROPECUARIA SA,505889
05.427.414/0001-15,JACUTINGA AGROPEC SA,517275
07.219.769/0001-44,JAIME PINHEIRO PARTIC. S/A,11878
02.635.522/0001-95,JALLES MACHADO S.A.,25496
33.438.250/0001-67,JAMYR VASCONCELLOS SA,7773
07.659.931/0001-45,JANASA JAN PROD DO MAR SA,502898
17.001.637/0001-03,JANUARIA AGROPECUARIA SA,506133
11.133.659/0001-32,JAPARANDUBA AGROPASTORIL S/A,505544
