CNPJ,EMPRESA,CODIGO
04.657.193/0001-09,AGROPEC MARACAJA SA,511897
11.494.804/0001-00,AGROPEC MARFIM SA,503029
08.332.413/0001-85,AGROPEC MARIA PAZ NORTE SA,503118
17.562.893/0001-61,AGROPEC MONTE REI SA,509469
08.632.515/0001-16,AGROPEC MUCAMBE SA,501093
06.843.916/0001-90,AGROPEC MUCAMBO SA,506990
05.625.009/0001-01,AGROPEC MUCUBAL SA,507687
14.725.287/0001-21,AGROPEC MUNDO NOVO SA,503525
79.764.619/0001-22,AGROPEC MUSAMAR SA,500933
05.324.843/0001-67,AGROPEC N S DE FATIMA SA,505366
08.845.398/0001-79,AGROPEC NELSON ALMEIDA SA,514080
08.845.398/0001-79,AGROPEC NELSON ALMEIDA SA,519936
05.061.809/0001-47,AGROPEC NOIRUMBA SA,518220
05.017.041/0001-04,AGROPEC NOVA ERA SA,514160
12.770.335/0001-78,AGROPEC NOVA SERTANIA SA,515019
05.374.053/0001-96,AGROPEC NOVO MUNDO SA,512400
05.374.053/0001-96,AGROPEC NOVO MUNDO SA,519600
05.140.512/0001-77,AGROPEC OLINDA SA,512397
08.057.879/0001-10,AGROPEC OLIVEIRA MACIEL SA,502235
01.146.059/0001-55,AGROPEC PALMIRA DO NORTE SA,515132
33.655.911/0001-06,AGROPEC PEIXE BOI SA,511536
04.930.590/0001-02,AGROPEC PIMENTA BUENO SA,513156
05.306.733/0001-72,AGROPEC PINHO SA AGROPINHO,512206
04.882.908/0001-27,AGROPEC PIQUIA SA,518409
05.377.734/0001-08,AGROPEC PITITAL SA,511510
04.730.412/0001-38,AGROPEC PRACUUBA SA,513245
08.121.329/0001-12,AGROPEC QUIXADA SA,507539
08.121.329/0001-12,AGROPEC QUIXADA SA,520810
04.978.466/0001-17,AGROPEC REMANSO ACU SA,511099
05.426.663/0001-96,AGROPEC REUNIDOS PARAENSE SA,512982
09.009.408/0001-07,AGROPEC RIBEIRA DO MOXOTO SA,501760
03.144.078/0001-78,AGROPEC RICA SA,509698
04.581.971/0001-23,AGROPEC RICASTRO SA,503878
05.078.415/0001-00,AGROPEC RIO ARATAU SA,513458
00.100.651/0001-53,AGROPEC RIO BONITO SA,506613
05.153.515/0001-45,AGROPEC RIO CAUAXI SA,503363
15.026.073/0001-20,AGROPEC RIO DARRO SA,511110
04.364.519/0001-00,AGROPEC RIO DAS ANTAS SA,510149
46.991.329/0001-62,AGROPEC RIO DEZOITO SA,511285
22.921.449/0001-25,AGROPEC RIO DO OURO SA,513326
12.091.260/0001-07,AGROPEC RIO MEARIM SA,503258
46.991.311/0001-60,AGROPEC RIO MUDRIRE SA,511943
46.991.311/0001-60,AGROPEC RIO MUDRIRE SA,520438
04.170.783/0001-02,AGROPEC RIO NEGRO SA,515043
00.809.095/0001-99,AGROPEC RIO PIUM SA,506605
31.683.279/0001-89,AGROPEC RIO PRETO SA,511765
05.023.692/0001-07,AGROPEC RIO S JOAO SA,510408
06.838.940/0001-30,AGROPEC RIO VOLTA SA,504661
05.609.086/0001-78,AGROPEC RODRIGUES DO SANTOS SA,511994
03.144.060/0001-76,AGROPEC RONCADOR SA,505196
04.870.838/0001-97,AGROPEC SALES OLIVEIRA SA,507911
15.611.809/0001-27,AGROPEC SALGADO SA,500747
35.098.532/0001-98,AGROPEC SANTANA SA,510718
08.947.475/0001-00,AGROPEC SAO BOA VENTURA SA,509795
08.187.874/0001-01,AGROPEC SAO CAMILO SA,503673
04.862.744/0001-76,AGROPEC SAO JOAO SA,519910
00.956.532/0001-05,AGROPEC SAO NICOLAU SA,508489
00.085.902/0001-78,AGROPEC SAO PEDRO SA,508063
00.085.902/0001-78,AGROPEC SAO PEDRO SA,520446
46.991.295/0001-06,AGROPEC SAO ROBERTO SA,508080
12.924.601/0001-70,AGROPEC SEMPRE VERDE SA,514055
00.999.987/0001-08,AGROPEC SONHO DOURADO SA,508683
04.595.104/0001-47,AGROPEC STA ADELIA SA,509434
19.324.029/0001-57,AGROPEC STA IDÁLIA - AGROSANTA,506214
24.067.076/0001-00,AGROPEC STA INEZ SA,516392
08.799.512/0001-71,AGROPEC STA IZABEL SA-AGROSISA,501174
07.460.710/0001-43,AGROPEC STA MARTA SA,505935
